,eventLink,eventName,eventDateString,eventLocation,eventListedFights,date,upcoming
6,http://ufcstats.com/event-details/c95fbc085e17a532,UFC Fight Night: Vieira vs. Tate,November 20 2021,"Las Vegas, Nevada, USA",11,2021-11-20,0
7,http://ufcstats.com/event-details/b5abaa65f87938eb,UFC Fight Night: Holloway vs. Rodriguez,November 13 2021,"Las Vegas, Nevada, USA",11,2021-11-13,0
8,http://ufcstats.com/event-details/48e093ea1f43a053,UFC 268: Usman vs. Covington 2,November 06 2021,"New York City, New York, USA",14,2021-11-06,0
9,http://ufcstats.com/event-details/3974fa35c917af1d,UFC 267: Blachowicz vs. Teixeira,October 30 2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",14,2021-10-30,0
10,http://ufcstats.com/event-details/8a9c6c4301f6d088,UFC Fight Night: Costa vs. Vettori,October 23 2021,"Las Vegas, Nevada, USA",15,2021-10-23,0
11,http://ufcstats.com/event-details/8f4616698508f24d,UFC Fight Night: Ladd vs. Dumont,October 16 2021,"Las Vegas, Nevada, USA",10,2021-10-16,0
12,http://ufcstats.com/event-details/d247691a6c0e9034,UFC Fight Night: Dern vs. Rodriguez,October 09 2021,"Las Vegas, Nevada, USA",9,2021-10-09,0
13,http://ufcstats.com/event-details/e15d0a2519d6a0b5,UFC Fight Night: Santos vs. Walker,October 02 2021,"Las Vegas, Nevada, USA",13,2021-10-02,0
14,http://ufcstats.com/event-details/0eec866a077889f0,UFC 266: Volkanovski vs. Ortega,September 25 2021,"Las Vegas, Nevada, USA",13,2021-09-25,0
15,http://ufcstats.com/event-details/4c27ca8c8481f79a,UFC Fight Night: Smith vs. Spann,September 18 2021,"Las Vegas, Nevada, USA",15,2021-09-18,0
16,http://ufcstats.com/event-details/b9532d815060de7f,UFC Fight Night: Brunson vs. Till,September 04 2021,"Las Vegas, Nevada, USA",9,2021-09-04,0
17,http://ufcstats.com/event-details/0db9d2486d564a3c,UFC Fight Night: Barboza vs. Chikadze,August 28 2021,"Las Vegas, Nevada, USA",12,2021-08-28,0
18,http://ufcstats.com/event-details/2f13e4020cea5b38,UFC Fight Night: Cannonier vs. Gastelum,August 21 2021,"Las Vegas, Nevada, USA",12,2021-08-21,0
19,http://ufcstats.com/event-details/972197a8c61ac413,UFC 265: Lewis vs. Gane,August 07 2021,"Houston, Texas, USA",13,2021-08-07,0
20,http://ufcstats.com/event-details/320edfb0332b7073,UFC Fight Night: Hall vs. Strickland,July 31 2021,"Las Vegas, Nevada, USA",11,2021-07-31,0
21,http://ufcstats.com/event-details/e57f0b06ea39e360,UFC Fight Night: Sandhagen vs. Dillashaw,July 24 2021,"Las Vegas, Nevada, USA",11,2021-07-24,0
22,http://ufcstats.com/event-details/40389d39a92f5bfa,UFC Fight Night: Makhachev vs. Moises,July 17 2021,"Las Vegas, Nevada, USA",10,2021-07-17,0
23,http://ufcstats.com/event-details/8a0be41c0380188d,UFC 264: Poirier vs. McGregor 3,July 10 2021,"Las Vegas, Nevada, USA",12,2021-07-10,0
24,http://ufcstats.com/event-details/a1d6b308781aa2f5,UFC Fight Night: Gane vs. Volkov,June 26 2021,"Las Vegas, Nevada, USA",14,2021-06-26,0
25,http://ufcstats.com/event-details/9ddfb3369a3b0394,UFC Fight Night: Jung vs. Ige,June 19 2021,"Las Vegas, Nevada, USA",12,2021-06-19,0
26,http://ufcstats.com/event-details/0b64d0fed453ef7f,UFC 263: Adesanya vs. Vettori 2,June 12 2021,"Glendale, Arizona, USA",14,2021-06-12,0
