eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/d29b5c4f22c6357d,"UFC Fight Night: Rivera vs. MoraesJune 01, 2018","Utica, New York, USA"
http://ufcstats.com/event-details/f5990c11974d8e9c,"UFC Fight Night: Thompson vs. TillMay 27, 2018","Liverpool, England, United Kingdom"
http://ufcstats.com/event-details/3144121470023e9a,"UFC Fight Night: Maia vs. UsmanMay 19, 2018","Santiago, Chile"
http://ufcstats.com/event-details/67ec58d7cf599835,"UFC 224: Nunes vs. PenningtonMay 12, 2018","Rio de Janeiro, Rio de Janeiro, Brazil"
http://ufcstats.com/event-details/ad99fa5325519169,"UFC Fight Night: Barboza vs. LeeApril 21, 2018","Atlantic City, New Jersey, USA"
http://ufcstats.com/event-details/620be7e0712d431b,"UFC Fight Night: Poirier vs. GaethjeApril 14, 2018","Glendale, Arizona, USA"
http://ufcstats.com/event-details/49e7e05f902479ca,"UFC 223: Khabib vs. IaquintaApril 07, 2018","Brooklyn, New York, USA"
http://ufcstats.com/event-details/eed2b71d77d95416,"UFC Fight Night: Werdum vs. VolkovMarch 17, 2018","London, England, United Kingdom"
http://ufcstats.com/event-details/7929be8290289a47,"UFC 222: Cyborg vs. KunitskayaMarch 03, 2018","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/daa89f01e1c0f42a,"UFC Fight Night: Emmett vs. StephensFebruary 24, 2018","Orlando, Florida, USA"
http://ufcstats.com/event-details/d181689653115b6a,"UFC Fight Night: Cerrone vs. MedeirosFebruary 18, 2018","Austin, Texas, USA"
http://ufcstats.com/event-details/15515e797aedc137,"UFC 221: Romero vs. RockholdFebruary 10, 2018","Perth, Western Australia, Australia"
http://ufcstats.com/event-details/7cf20446453f852b,"UFC Fight Night: Machida vs. AndersFebruary 03, 2018","Belem, Para, Brazil"
http://ufcstats.com/event-details/602bb270f2bdbf02,"UFC Fight Night: Jacare vs. Brunson 2January 27, 2018","Charlotte, North Carolina, USA"
http://ufcstats.com/event-details/02177caefe7c07d4,"UFC 220: Miocic vs. NgannouJanuary 20, 2018","Boston, Massachusetts, USA"
http://ufcstats.com/event-details/fc1868f56d3036eb,"UFC Fight Night: Stephens vs. ChoiJanuary 14, 2018","St. Louis, Missouri, USA"
http://ufcstats.com/event-details/04076783ca83d6ae,"UFC 219: Cyborg vs. HolmDecember 30, 2017","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/eaa0a728cc91ef60,"UFC Fight Night: Lawler vs. Dos AnjosDecember 16, 2017","Winnipeg, Manitoba, Canada"
http://ufcstats.com/event-details/bcd124bcd3d5be46,"UFC Fight Night: Swanson vs. OrtegaDecember 09, 2017","Fresno, California, USA"
http://ufcstats.com/event-details/9e30f69cc0869301,"UFC 218: Holloway vs. Aldo 2December 02, 2017","Detroit, Michigan, USA"
http://ufcstats.com/event-details/30e8b4505f5ccf92,"The Ultimate Fighter: A New World Champion FinaleDecember 01, 2017","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/e7bc606d269896aa,"UFC Fight Night: Bisping vs. GastelumNovember 25, 2017","Shanghai, Hebei, China"
